level error: Aug-27-2023 13:47:35 	Error: userId is not defined
level error: Aug-27-2023 13:48:37 	Error: empSchema is not defined
level info: Aug-27-2023 13:49:10 	Expense edited successfully
level info: Aug-27-2023 13:49:29 	Expense edited successfully
level error: Aug-27-2023 13:50:55 	Invalid expense category
level error: Aug-27-2023 13:51:08 	Invalid expense category
level info: Aug-27-2023 14:00:49 	Expense delete successfully
level info: Aug-27-2023 14:01:08 	Expense delete successfully
level info: Aug-27-2023 14:01:34 	Expense delete successfully
level info: Aug-27-2023 14:54:08 	Expense created!
level error: Aug-27-2023 14:54:21 	Invalid expense category
level info: Aug-27-2023 14:57:53 	Expense created!
level info: Aug-27-2023 17:36:29 	Expense created!
level info: Aug-27-2023 17:59:35 	Expense created!
level info: Aug-27-2023 22:56:29 	All expense found
level info: Aug-27-2023 22:56:43 	All expense found
level info: Aug-27-2023 22:56:53 	All expense found
level info: Aug-27-2023 22:57:33 	Expense created!
level info: Aug-27-2023 22:57:39 	All expense found
level info: Aug-27-2023 22:57:49 	All expense found
level info: Aug-27-2023 22:58:49 	All expense found
level error: Aug-27-2023 22:59:13 	Error: Cannot do exclusion on field id in inclusion projection
level info: Aug-27-2023 22:59:23 	All expense found
level info: Aug-27-2023 22:59:37 	All expense found
level info: Aug-27-2023 23:00:29 	All expense found
level info: Aug-27-2023 23:58:26 	Expense details found
level info: Aug-27-2023 23:59:25 	Expense details found
